date,time
2020-01-13,15:35:42
2020-01-13,15:38:48
2020-01-13,15:41:57
2020-01-13,15:46:50
2020-01-13,16:24:26
2020-01-13,17:08:22
2020-01-14,16:12:23
2020-01-14,17:17:01
2020-01-14,17:19:37
2020-01-15,11:24:03
2020-01-15,11:29:14
2020-01-15,11:29:15
2020-01-15,12:26:28
2020-01-15,12:26:28
2020-01-15,12:31:33
2020-01-15,12:31:34
2020-01-15,20:08:00
2020-01-15,20:08:01
2020-01-16,19:19:02
2020-01-16,19:21:36
2020-01-16,19:21:37
2020-01-16,20:50:24
2020-01-16,20:50:33
2020-01-16,20:50:34
2020-01-16,21:15:41
2020-01-17,17:00:42
2020-01-17,17:01:41
2020-01-17,17:32:06
2020-01-17,17:42:33
2020-01-17,17:42:34
2020-01-17,17:45:17
2020-01-17,17:45:18
2020-01-17,17:49:04
2020-01-17,17:49:04
2020-01-18,13:24:03
2020-01-18,13:24:03
2020-01-18,18:35:31
2020-01-18,18:35:31
2020-01-18,20:23:01
2020-01-18,20:23:02
2020-01-18,20:26:32
2020-01-18,20:26:32
2020-01-18,20:34:26
2020-01-18,20:34:27
2020-01-18,20:49:04
2020-01-18,20:49:05
2020-01-19,15:04:05
2020-01-19,15:04:05
2020-01-19,17:43:32
2020-01-19,17:43:32
2020-01-19,19:12:17
2020-01-19,19:12:18
2020-01-20,11:37:55
2020-01-20,11:37:56
2020-01-20,11:59:42
2020-01-20,11:59:42
2020-01-20,13:57:43
2020-01-20,13:57:43
2020-01-20,13:57:43
2020-01-20,13:59:21
2020-01-20,13:59:21
2020-01-20,14:09:00
2020-01-20,14:09:01
2020-01-20,14:59:44
2020-01-20,14:59:44
2020-01-21,14:02:37
2020-01-21,14:02:37
2020-01-21,14:09:26
2020-01-21,14:09:26
2020-01-21,15:46:03
2020-01-21,15:46:03
2020-01-23,11:13:57
2020-01-23,11:13:57
2020-01-23,16:48:22
2020-01-23,17:31:05
2020-01-23,17:31:06
2020-01-23,17:32:03
2020-01-23,17:32:03
2020-01-23,17:42:50
2020-01-23,17:42:50
2020-01-23,17:58:11
2020-01-23,17:58:11
2020-01-23,18:02:53
2020-01-23,18:02:53
2020-01-24,09:21:52
2020-01-24,09:21:52
2020-01-24,10:32:37
2020-01-24,10:32:37
2020-01-24,18:37:38
2020-01-24,18:40:38
2020-01-24,18:40:39
2020-01-24,18:40:39
2020-01-24,20:26:50
2020-01-24,20:26:50
2020-01-25,14:34:30
2020-01-25,14:34:31
2020-01-25,15:00:12
2020-01-25,15:00:13
2020-01-26,13:08:57
2020-01-26,16:53:45
